state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
Kentucky,Carter County,South,Non-metro,6,42.9,26797,8775,2642,22.8033834,26.33755875,12.5698328,9.6,43492
Georgia,Early County,South,Non-metro,6,21.1,10190,2710,2450,47.2243639,28.18634605,15.07471466,5.8,40011
Virginia,Charlottesville city,South,Metro,3,48.1,47266,3094,20696,85.5029952,19.66662216,54.94465637,6.4,58717
Maryland,Anne Arundel County,South,Metro,1,68.7,579234,127821,172823,55.8183175,26.99525452,41.74534607,5.8,100916
Montana,Lincoln County,West,Non-metro,7,31.9,19980,8672,2835,24.1338214,32.69883347,19.60066605,10.1,43669
Georgia,Muscogee County,South,Metro,2,33,195769,30107,49446,61.412922,34.9234314,25.75959015,7.8,47035
Mississippi,Neshoba County,South,Non-metro,7,36,29118,8320,3260,27.8156997,33.03917313,11.59599686,9.3,41795
Wisconsin,Green County,Midwest,Metro,2,58.1,36960,10169,10851,50.6913949,33.39860153,23.58903503,4.8,64319
Idaho,Elmore County,West,Non-metro,6,38.9,27511,7246,2601,25.4875061,44.43450165,18.73061371,4.8,47796
Georgia,Catoosa County,South,Metro,2,19,67580,25167,6932,21.2683705,33.19697952,21.39298058,4.3,60753
Washington,Ferry County,West,Non-metro,9,50,7627,2771,1486,34.0279368,33.27553177,18.76192093,11.5,47463
Missouri,Saline County,Midwest,Non-metro,6,43.1,22761,6451,2904,30.5074062,26.81438255,19.3512001,4.5,47324
Wisconsin,Buffalo County,Midwest,Non-metro,8,46.1,13031,4834,2860,36.591607,31.19371796,19.2774868,7.4,58407
Kansas,Wilson County,Midwest,Non-metro,7,39.5,8525,3111,711,18.235445,38.05236053,16.508255,7.8,46243
Illinois,Will County,Midwest,Metro,1,59.8,690743,155116,183915,53.1137911,29.83848572,34.29001617,9.5,90249
Texas,Zavala County,South,Non-metro,7,46.9,11840,1490,2864,65.4030601,23.33286285,10.85577297,14.1,32538
Iowa,Greene County,Midwest,Non-metro,6,53.5,8888,3223,1769,34.9812142,35.07297134,18.6548214,4.2,55562
Kentucky,Robertson County,South,Non-metro,8,34.7,2108,884,253,22.0767888,30.12607765,16.32382202,6.1,47017
Indiana,Adams County,Midwest,Non-metro,6,30.8,35777,10686,3236,22.774298,28.66290092,15.46139336,5.6,53532
Washington,Mason County,West,Non-metro,4,54.5,66768,18710,17269,46.2938638,39.82136536,17.63285446,9.8,63689
New York,Ulster County,Northeast,Metro,3,65.5,177573,37590,57970,59.5052351,28.55365181,32.45026398,8,64090
Michigan,Ontonagon County,Midwest,Non-metro,9,65.7,5720,2358,1391,36.5667718,32.56436539,16.53964996,10.3,45531
North Carolina,Watauga County,South,Non-metro,5,49.4,56177,14451,17122,53.1409063,27.81557083,42.23041153,6.2,51630
South Dakota,Day County,Midwest,Non-metro,9,58.3,5424,1869,1052,35.4925776,31.0115242,21.56209946,5.7,51516
South Carolina,Richland County,South,Metro,2,55,415759,58313,132570,68.3978083,29.91233635,39.08494568,5.8,52905
Ohio,Marion County,Midwest,Non-metro,4,43.6,65093,19023,8269,29.7253577,30.87587547,12.53995037,7.6,51479
Colorado,Saguache County,West,Non-metro,9,32.4,6824,1413,1884,55.5916199,30.42037773,22.09567261,7,37004
Nevada,Douglas County,West,Non-metro,4,47.7,48905,21630,11571,33.9076923,39.39508438,29.43174553,8.6,76296
Florida,Taylor County,South,Non-metro,6,35.8,21569,7751,2299,22.7016886,26.60248375,8.347826004,6.2,42987
South Dakota,McPherson County,Midwest,Non-metro,9,12.9,2379,1075,222,16.7673716,31.39678574,17.73794746,5.1,43243
Washington,Snohomish County,West,Metro,1,62.4,822083,166428,256728,58.5073702,36.18808365,32.78930664,8.5,89119
Texas,Hardeman County,South,Non-metro,9,43.1,3933,1330,241,15.2531646,32.51356125,13.67088604,4.4,40057
Georgia,Coweta County,South,Metro,1,28.6,148509,51501,24210,31.523848,30.32709885,30.2561264,6.2,79232
Nebraska,Washington County,Midwest,Metro,2,50.5,20729,8583,3554,28.5072592,34.03823853,29.9029541,3.7,75197
Ohio,Clark County,Midwest,Metro,3,46.9,134083,39032,24076,37.4945493,32.13541412,18.70685577,8.1,50832
Utah,Garfield County,West,Non-metro,9,50.3,5051,2158,514,18.8140556,30.60632515,25.87757492,10.2,54625
Florida,Okeechobee County,South,Non-metro,4,42.7,42168,11470,4390,27.5166103,26.34360313,11.33945847,5.4,45225
Georgia,Lincoln County,South,Metro,2,20.5,7921,3173,1432,30.8554191,26.61346245,15.85704327,5.4,45299
Indiana,Harrison County,Midwest,Metro,1,47,40515,14565,5343,26.4034394,30.12465668,18.68057251,6.3,64270
Mississippi,Pontotoc County,South,Non-metro,7,38.1,32174,11550,2614,18.1818182,29.33035469,18.06924629,7.8,48910
Missouri,Mercer County,Midwest,Non-metro,9,32.1,3617,1541,222,12.4789207,22.2543354,18.86870384,3.6,44343
Virginia,Appomattox County,South,Metro,2,32,15911,6702,2418,26.0897713,31.14990044,20.86557579,5.8,54609
New York,Schenectady County,Northeast,Metro,2,65.2,155299,30741,42465,56.7516639,29.08460236,32.0956192,8.1,64960
Virginia,Nottoway County,South,Non-metro,6,41.7,15232,4027,2971,41.9751342,27.23145294,14.7734499,5.1,45913
Iowa,Grundy County,Midwest,Metro,3,57.5,12232,4929,2206,30.3188565,35.08345032,27.89754295,4.4,73683
Kentucky,Owen County,South,Non-metro,8,34,10901,4292,1098,20.1172591,21.94349098,10.9453392,6.4,51494
South Carolina,Greenville County,South,Metro,2,49.3,523542,150021,103030,39.9101315,29.19158745,35.07192612,5.7,64399
Missouri,Franklin County,Midwest,Metro,1,50.2,103967,38058,14569,27.1379342,34.81747818,20.91568184,6.2,61428
Arkansas,Chicot County,South,Non-metro,7,50.5,10118,1752,2260,55.0816476,26.81091309,15.88496208,10.3,37014
Arizona,Navajo County,West,Non-metro,4,62.9,110924,27657,23383,45.1557461,37.80786896,15.25416565,10.1,40676
Utah,Davis County,West,Metro,2,57,355481,104135,57411,33.792048,36.72709274,37.75722122,4.1,87610
Texas,Oldham County,South,Metro,2,31.9,2112,917,81,8.0277502,31.11639023,22.01108551,3.9,59404
Indiana,Morgan County,Midwest,Metro,1,49.8,70489,27512,7781,21.5188473,31.55003738,17.25188637,5.4,63414
Kentucky,Fulton County,South,Non-metro,9,52.2,5969,1606,794,32.7287716,28.23285866,13.41463375,6.5,34376
Tennessee,Sullivan County,South,Metro,2,51.1,158348,55860,17272,23.2284788,28.84659004,23.61152267,7.2,51303
Minnesota,Pennington County,Midwest,Non-metro,6,48.4,14119,4532,2568,35.2892676,40.73656082,19.316782,6.2,55870
New York,Tioga County,Northeast,Metro,2,54.9,48203,14791,9634,38.4682958,29.21950722,26.00299835,7.8,60699
Idaho,Franklin County,West,Metro,3,36.5,13876,5845,657,9.8589436,34.80558777,17.7299614,3.6,55421
Illinois,Hamilton County,Midwest,Non-metro,7,33.6,8116,3432,824,19.0608374,35.16407776,17.04663277,6.7,51031
Georgia,Seminole County,South,Non-metro,6,18.4,8090,2613,1256,32.3045267,31.52101326,16.19412994,5,38618
Minnesota,Murray County,Midwest,Non-metro,9,49.9,8194,3363,1449,29.5955882,33.18821335,20.74681854,5.1,61007
Georgia,Brooks County,South,Metro,3,31.7,15457,4261,2791,39.3043233,32.35427094,17.75869942,5.2,39554
Indiana,Jefferson County,Midwest,Non-metro,6,51.5,32308,9663,4731,32.1902429,29.47425079,17.87907219,7.4,53378
Texas,Callahan County,South,Metro,3,33.9,13943,6012,734,10.7435597,31.40563011,21.03872299,5.4,50812
Georgia,Jeff Davis County,South,Non-metro,7,12,15115,4695,1028,17.813204,30.29275894,10.29275799,5.1,40603
Pennsylvania,Washington County,Northeast,Metro,1,59.6,206865,72080,45088,38.0560104,25.76058578,30.04484367,9.4,65558
Florida,Monroe County,South,Non-metro,4,70.7,74228,25693,21881,45.5578921,30.3099575,34.40294647,7.9,67528
Minnesota,Wadena County,Midwest,Non-metro,7,45.1,13682,5520,2023,26.3514394,39.68202591,13.80056286,7.6,50663
Florida,Putnam County,South,Non-metro,4,36.8,74521,25514,10527,28.9417975,28.29925156,12.30368996,7.9,41986
Missouri,Stone County,Midwest,Non-metro,6,35.3,31952,14800,3506,18.9687821,35.67014694,18.55944252,9.8,50262
Alabama,Franklin County,South,Non-metro,6,39.6,31362,10376,2086,16.5845126,26.64774323,13.98537445,4.4,44874
Virginia,Gloucester County,South,Metro,1,54.8,37348,14875,6964,31.2539269,33.89153671,23.28934288,5.4,71715
Texas,Burleson County,South,Metro,3,44.6,18443,6743,1788,20.7689627,26.84994507,17.2793541,6.3,61745
Texas,King County,South,Non-metro,9,20.6,272,151,8,5.0314465,24.05063248,20.88607597,1.7,71256
Texas,Kendall County,South,Metro,1,56.1,47431,20083,6020,22.7702549,30.07021141,42.0929451,5,94899
Mississippi,Winston County,South,Non-metro,7,44,17955,5112,4040,43.7040242,31.23285484,14.70334625,8.7,37596
Iowa,Dallas County,Midwest,Metro,2,58.8,93453,27987,26879,47.9793652,27.56348228,50.38045883,3.6,97535
New York,Chautauqua County,Northeast,Non-metro,4,53.3,126903,34853,23087,38.9299204,31.06449127,22.2482872,8.9,50143
Utah,Emery County,West,Non-metro,7,39.9,10012,4207,572,11.7574512,47.30671692,16.25475311,4.7,61893
Arkansas,Conway County,South,Non-metro,6,48.9,20846,5694,2615,30.109384,27.57835197,15.62197971,6,46924
Kentucky,Simpson County,South,Non-metro,6,46.1,18572,5888,2681,30.7031608,27.93159676,14.16938114,7.2,52931
Florida,Indian River County,South,Metro,3,61.6,159923,58872,37844,38.8207296,29.79899406,29.12306786,7.4,61173
Montana,Jefferson County,West,Non-metro,9,45,12221,5345,2625,32.0473691,32.76999664,34.98089981,5.1,70929
Iowa,Louisa County,Midwest,Non-metro,8,48.1,11035,3500,1726,32.3705926,31.53188133,14.87817478,5,60544
Oklahoma,Pottawatomie County,South,Non-metro,4,43.2,72592,20240,7275,25.8116019,33.22669601,18.27457809,6.1,52747
Virginia,York County,South,Metro,1,52.9,68280,20241,17683,45.5900173,28.66773224,47.05946732,5.6,91535
Alabama,Etowah County,South,Metro,3,37.2,102268,35528,11567,24.2352497,33.90437698,17.79070473,7.7,43047
Indiana,Rush County,Midwest,Non-metro,6,43.5,16581,6035,1754,22.1129602,27.02327156,13.91108036,6.3,54371
Mississippi,Smith County,South,Non-metro,8,30.6,15916,6458,1791,21.5083463,27.86318588,12.1804781,5.8,46296
Texas,Limestone County,South,Non-metro,6,33.5,23437,6789,2213,24.3320506,33.07203293,14.82624531,7.1,43644
Kentucky,Warren County,South,Metro,3,34.6,132896,31791,22479,40.5750799,29.25269508,32.22089767,6.6,53238
Minnesota,Chisago County,Midwest,Metro,1,51.6,56579,21916,11806,34.150998,39.37294769,21.49367142,6.6,84811
South Carolina,Edgefield County,South,Metro,2,54.1,27260,8184,4953,37.2294047,29.55978012,16.66327858,5.1,52591
South Carolina,Dillon County,South,Non-metro,6,40.8,30479,6582,6436,49.1260209,25.16993332,11.12205696,6.1,35483
Minnesota,Martin County,Midwest,Non-metro,7,51.3,19683,7480,3305,30.020892,34.7990036,20.47669792,5.2,54602
North Carolina,Chowan County,South,Non-metro,6,49,13943,4471,3247,41.7137718,31.71606636,21.67264557,6.1,47126
Kentucky,Bath County,South,Non-metro,8,48.4,12500,3986,1573,27.9545051,21.24238777,14.47015858,8.3,42248
North Dakota,Sheridan County,Midwest,Non-metro,9,34.3,1315,688,104,12.8078818,35.44536209,14.60055065,6,58725
Colorado,Park County,West,Metro,1,43.8,18845,6991,4903,39.8942229,36.9849472,29.79715919,5.7,77221
Colorado,San Miguel County,West,Non-metro,9,74.9,8179,1136,3924,76.2385856,22.11935806,59.39824677,10.9,77209
Alabama,Pike County,South,Non-metro,6,37.5,33114,8042,5636,40.7196012,25.48450661,23.73302841,4.9,41271
Georgia,Troup County,South,Non-metro,4,22,69922,18142,11577,38.5296369,29.26509094,19.00918579,7.3,47296
Kentucky,Laurel County,South,Non-metro,5,36.8,60813,23237,4475,15.919035300000001,27.53097725,14.448659899999999,6.9,44033
New Mexico,Sandoval County,West,Metro,2,64.1,146748,34174,40588,53.0132442,33.97324753,30.46972275,8.6,71118
Pennsylvania,Indiana County,Northeast,Non-metro,4,43.3,84073,28089,12634,30.6665372,23.79366875,22.9639492,9.1,51299
Texas,Henderson County,South,Non-metro,4,35.5,82737,28911,7060,19.4436794,31.75521088,17.34071732,6.4,49896
Kansas,Ness County,Midwest,Non-metro,9,48,2750,1315,147,9.8856759,40.43767929,19.41008568,3.4,54727
Ohio,Hardin County,Midwest,Non-metro,6,34.4,31365,9949,3062,23.1146675,25.23466873,16.21297455,8.1,51155
Kansas,Leavenworth County,Midwest,Metro,1,54.4,81758,21378,13753,38.0811297,32.43173981,31.495327,5.8,75840
Colorado,Hinsdale County,West,Non-metro,9,54.9,820,353,255,40.3481013,25.32005692,45.66144943,4.2,61391
Texas,Bowie County,South,Metro,3,34.9,93245,27116,10747,28.0886542,33.34176636,20.61883354,7.4,51207
Nebraska,Merrick County,Midwest,Metro,3,39.5,7755,3419,743,17.3517048,41.12624741,17.80199814,4,53411
Texas,Bexar County,South,Metro,1,61.2,2003554,308618,448452,58.3198951,30.80089569,28.01372147,7.5,58956
Arkansas,Independence County,South,Non-metro,7,36.2,37825,11250,2806,19.3357222,30.86139679,17.53841209,5.8,47903
Georgia,Appling County,South,Non-metro,7,15.1,18386,6570,1784,21.2634088,26.37532616,9.830729485,4.7,43821
Idaho,Camas County,West,Non-metro,9,38.3,1106,507,149,19.7612732,33.87977982,16.25683022,4.8,56014
Minnesota,Carver County,Midwest,Metro,1,59.2,105089,34009,30774,46.3736231,28.98126602,48.94567108,5.2,101891
Colorado,Elbert County,West,Metro,1,33.8,26729,14027,4490,23.6527419,36.77834702,35.81796265,4.7,101733
Kansas,Stanton County,Midwest,Non-metro,9,45.4,2006,607,147,19.1655802,29.96078491,18.98039246,2.4,63401
Kansas,Kiowa County,Midwest,Non-metro,9,46.5,2475,957,153,13.4328358,33.02412033,28.07668495,3.3,49588
Pennsylvania,Elk County,Northeast,Non-metro,7,53.4,29910,12140,4522,26.7479002,24.7167263,19.56834602,12.3,55462
South Carolina,Union County,South,Metro,2,37.4,27316,8183,4935,37.2256167,29.94008827,11.3472271,9,42851
Ohio,Franklin County,Midwest,Metro,1,57.1,1316756,211237,409144,64.8840665,26.52506638,40.04967499,7.4,64648
Florida,Lee County,South,Metro,2,56.7,770577,233247,157695,40.0343743,29.204319,28.24315262,7.3,62364
Iowa,Polk County,Midwest,Metro,2,60.2,490161,106800,146250,56.5206469,30.34726143,36.70982742,6,67331
Alabama,Conecuh County,South,Non-metro,7,38.2,12067,3442,2966,46.0487502,20.43473244,12.77029324,7.3,41539
Michigan,Eaton County,Midwest,Metro,2,52.5,110268,31798,31299,48.6560853,38.83540726,27.76134872,7.7,65891
Mississippi,Noxubee County,South,Non-metro,7,50.7,10417,1240,4040,75.6412657,25.65173531,15.62725067,11,32916
Oklahoma,Lincoln County,South,Metro,1,35.9,34877,12013,2609,17.5241805,30.92301941,15.48465824,5.6,51012
Wisconsin,Adams County,Midwest,Non-metro,8,51.8,20220,7362,4329,36.6305635,31.081584930000002,13.85198021,9.5,53156
West Virginia,Logan County,South,Non-metro,6,30.3,32019,10534,2333,17.9103332,25.92869568,9.989196777,12.2,38533
North Carolina,Craven County,South,Metro,3,54.6,102139,31032,21148,39.8530105,37.50463104,25.25017357,6.6,53372
Colorado,Mineral County,West,Non-metro,9,74.1,769,427,317,41.9312169,35.15064621,46.48493576,5.8,63015
Virginia,Albemarle County,South,Metro,3,59.8,109330,20804,42466,65.6788901,21.16895485,55.13662338,5.4,86332
Tennessee,Humphreys County,South,Non-metro,6,36.9,18582,6120,2017,24.4900437,22.21455383,14.27037811,6.4,52121
Missouri,Monroe County,Midwest,Non-metro,9,40.5,8644,3477,936,20.8788758,28.46079445,12.43949699,5.9,48399
Texas,Waller County,South,Metro,1,37.2,55246,14260,8191,36.0297352,28.85584259,21.11266708,7.8,61822
Iowa,Cass County,Midwest,Non-metro,6,53.8,12836,4969,2201,30.2501374,30.02893639,20.06215858,3.9,53692
Mississippi,Benton County,South,Metro,1,46.2,8259,2570,1679,39.1192917,27.66555405,11.54048824,8.3,37875
New Jersey,Cape May County,Northeast,Metro,3,67,92039,33158,23941,41.3253241,27.69166946,32.81858826,13.8,66565
Florida,Citrus County,South,Metro,3,52.4,149657,65352,27092,29.0661746,32.88553238,18.29945946,8.4,49762
Indiana,Decatur County,Midwest,Non-metro,6,44.4,26559,9575,2439,19.8502482,26.34790802,20.62594414,7.5,60891
Texas,Val Verde County,South,Non-metro,5,58.2,49025,8284,6771,44.3360398,25.39488792,18.38858414,7.9,45034
Vermont,Windsor County,Northeast,Non-metro,7,45.4,55062,9971,23376,67.8627417,26.11480331,38.23316956,5.3,61843
Georgia,Fannin County,South,Non-metro,8,21.5,26188,12169,2570,17.3075628,31.32376289,21.77489471,4.7,47980
Idaho,Custer County,West,Non-metro,8,41.6,4315,2089,603,22.0153341,36.43192673,24.38184738,5,49055
Utah,Utah County,West,Metro,2,47.1,636235,192812,76033,26.7270107,37.40374756,40.80809402,3.7,79505
Florida,St. Johns County,South,Metro,1,63.5,264672,110946,63850,36.1506494,28.71461296,44.7039566,5.3,90839
Iowa,Kossuth County,Midwest,Non-metro,7,48.3,14813,6275,2696,29.6589659,39.00237656,17.50118828,3.8,59568
Mississippi,Jefferson Davis County,South,Non-metro,8,40.2,11128,2534,3599,57.9269274,31.69934654,14.14027119,9.6,32077
New York,Fulton County,Northeast,Non-metro,4,49.2,53383,15378,7931,33.4021226,33.43177795,18.21714401,8.6,50061
Kentucky,Rockcastle County,South,Non-metro,7,35.5,16695,6577,1134,14.5683453,23.62748337,11.35904312,7.1,40790
Minnesota,Watonwan County,Midwest,Non-metro,6,52.3,10897,3103,1987,38.2041915,27.72837448,15.4675293,4.6,57290
North Dakota,Williams County,Midwest,Non-metro,7,26.7,37589,11739,2169,15.1318543,39.86129761,23.56152153,9.6,84606
Missouri,Adair County,Midwest,Non-metro,7,41.4,25343,6413,3710,35.8939628,24.62322617,31.04314423,5.1,43044
New York,Broome County,Northeast,Metro,2,58.2,190488,43800,47010,50.6606031,30.83614349,28.38034058,8.7,52179
Kentucky,Crittenden County,South,Non-metro,7,37.6,8806,3451,731,17.2324375,28.7576561,13.067379,5.5,44595
Illinois,Kane County,Midwest,Metro,1,59.5,532403,96775,130166,56.1360382,28.717062,33.13838577,9.1,84311
Texas,Maverick County,South,Non-metro,5,71.9,58722,6881,8332,54.2942786,24.17174149,12.6948843,15,40017
Texas,Trinity County,South,Non-metro,7,36.1,14651,5579,1323,19.0688959,34.30271149,12.87885952,8.1,43788
Illinois,Vermilion County,Midwest,Metro,3,41.8,75758,20725,10323,32.62436,32.50165558,14.74869823,8.8,46295
Michigan,Kalkaska County,Midwest,Non-metro,7,43.9,18038,7436,3002,28.2381714,33.28090668,11.89053154,11.1,47620
Utah,Millard County,West,Non-metro,7,38.7,13188,5404,624,10.1298701,36.89628983,20.58973122,3.2,59069
Pennsylvania,Wayne County,Northeast,Non-metro,6,58.7,51361,18637,9191,32.720994,26.31712914,20.37635994,9.2,56265
South Carolina,Chester County,South,Metro,1,41.3,32244,8660,6941,44.0502634,29.40392113,13.38845158,8.9,45400
Montana,Silver Bow County,West,Non-metro,5,56.8,34915,7745,10392,55.197323,33.25891113,27.23060036,6.6,49249
Alabama,Lamar County,South,Non-metro,8,39.5,13805,6174,978,13.5965522,30.63942337,11.93453312,4.9,42686
Louisiana,Evangeline Parish,South,Non-metro,6,34.6,33395,11053,4158,26.9789774,22.58522034,11.63578129,7.7,35146
Mississippi,Sunflower County,South,Non-metro,7,48.1,25110,2799,6781,70.0299494,27.26181602,15.35691833,11.2,32948
Georgia,Chatham County,South,Metro,2,44.8,289430,53232,78247,58.6524047,32.09918976,33.58016205,7.6,57122
Alaska,Aleutians West Census Area,West,Non-metro,9,56.5,5634,NA,NA,NA,33.38986969,17.03416443,4.5,84726
Colorado,Ouray County,West,Non-metro,9,59.5,4952,1577,2365,58.8308458,34.06907272,47.7797966,8.1,72836
Virginia,Newport News city,South,Metro,1,48.7,179225,26377,53099,65.3904412,36.24691772,26.27551651,8.7,53022
Maine,Oxford County,Northeast,Non-metro,6,60.9,57975,17698,14755,44.0552968,30.73402977,19.20293236,6.7,50344
South Dakota,Spink County,Midwest,Non-metro,9,47.6,6376,2104,998,31.5523237,32.11957932,21.82512856,4.1,54666
South Dakota,Lawrence County,Midwest,Non-metro,6,50.3,25844,8753,4537,32.8102401,28.94320869,34.97798538,6.2,53902
Texas,San Patricio County,South,Metro,2,50,66730,16516,8988,34.7187886,31.56728172,15.58650589,10.3,57302
Missouri,Bates County,Midwest,Metro,1,35.7,16172,6597,1672,19.8669202,27.07408142,16.13075066,5.3,48442
North Dakota,Kidder County,Midwest,Non-metro,8,29.4,2480,1215,221,15.1369863,39.32584381,17.69662857,5.1,50570
Tennessee,Marshall County,South,Non-metro,6,38,34375,11043,3605,24.2304073,29.35275269,14.66977596,9.1,58151
Mississippi,Alcorn County,South,Non-metro,7,35.2,36953,12818,2782,17.595345,31.99733543,17.12505913,6.2,43496
New York,Nassau County,Northeast,Metro,1,72.3,1356924,326716,396504,54.1113276,22.7510128,45.96044922,8.4,117767
Virginia,Highland County,South,Non-metro,8,55.7,2190,1092,417,27.2015656,27.28243446,22.53069878,3.7,45917
New York,Steuben County,Northeast,Non-metro,4,53.7,95379,29474,15790,34.1937719,30.10898018,23.64509583,8.2,53167
North Dakota,Billings County,Midwest,Non-metro,9,19.8,928,541,72,11.3385827,30.16997147,26.34560966,3.7,69528
Oregon,Washington County,West,Metro,1,68.2,601592,99073,209940,65.5394817,30.37080956,44.44403076,6.5,85665
West Virginia,Mason County,South,Non-metro,6,33.3,26516,8491,2526,22.5475319,26.11041832,14.42507267,8.5,47753
Missouri,Stoddard County,Midwest,Non-metro,6,36.4,29025,11484,1819,13.548339,26.06854248,13.28010941,6,42363
Kentucky,Greenup County,South,Metro,2,45.3,35098,13064,4873,26.8100792,35.86849213,17.13699341,8.9,52179
Ohio,Muskingum County,Midwest,Non-metro,4,44.1,86215,27867,11971,29.5835908,30.09632683,16.08899498,7.8,52105
Minnesota,Isanti County,Midwest,Metro,1,38.3,40596,16491,7138,29.4532701,39.37557602,18.50360298,6.8,77963
Pennsylvania,Allegheny County,Northeast,Metro,1,62,1216045,282913,430759,59.4314294,25.9541626,41.64778519,9,64799
Ohio,Logan County,Midwest,Non-metro,6,38.6,45672,17964,5055,21.6321465,27.64790726,16.51114273,8.3,60624
Missouri,Crawford County,Midwest,Non-metro,6,30.2,23920,8725,2113,19.2563565,27.28139687,11.53364754,6.4,48315
Missouri,Wayne County,Midwest,Non-metro,9,33.2,12873,4987,845,14.375638,27.67051506,9.61175251,6.1,35397
Colorado,Morgan County,West,Non-metro,6,42,29068,9593,3876,28.201397,30.14510155,17.47731018,5.4,57535
Virginia,Smyth County,South,Non-metro,7,44.3,30104,10963,3008,21.279004,30.98804474,14.63176155,6.4,41964
Texas,Cochran County,South,Non-metro,9,36.2,2853,809,177,17.7,28.9207859,8.027645111,7.1,43742
Oklahoma,Major County,South,Non-metro,9,45.7,7629,3084,320,9.2298817,30.01731682,19.97306061,4.7,59690
Texas,Cameron County,South,Metro,2,65.6,423163,49032,64063,56.1099725,24.20527077,17.32470703,10.2,40893
Wisconsin,St. Croix County,Midwest,Metro,1,44.4,90687,32199,23190,40.8944222,36.24153137,35.37509537,7.1,87098
Kentucky,Russell County,South,Non-metro,9,41.8,17923,7519,1331,14.8632049,25.85754013,14.66772747,8.2,44056
Oregon,Benton County,West,Metro,3,68.9,93053,14878,35827,67.8554518,28.51026917,54.14837646,5.6,69148
Georgia,Talbot County,South,Non-metro,8,30.2,6195,1392,2114,60.0227144,24.6543293,12.12508011,6.9,41045
Tennessee,Cannon County,South,Metro,1,28.7,14678,5190,1261,19.2313558,23.16796494,15.80037498,6.5,52960
West Virginia,Mingo County,South,Non-metro,7,24.4,23424,8544,1397,13.9393335,23.02295876,9.896800041,14.3,34698
North Carolina,Harnett County,South,Non-metro,4,34.9,135976,35177,22093,37.8999194,35.71804428,21.85860062,7.5,55619
Virginia,Harrisonburg city,South,Metro,3,37.4,53016,5591,11022,64.5089547,22.01318359,36.27508926,6.4,48189
Alabama,Clay County,South,Non-metro,9,38.4,13235,5601,1267,18.2828283,28.31166077,10.5613699,4,40562
North Dakota,Rolette County,Midwest,Non-metro,9,55.1,14176,1257,2482,65.2471083,42.15154648,19.58800125,13.4,45296
New Mexico,Union County,West,Non-metro,9,42.1,4059,1388,383,21.4086082,23.37748337,11.72185421,5.1,38221
Alabama,Lauderdale County,South,Metro,3,42,92729,31721,11915,26.872505,27.92032242,23.50092697,5.5,48188
Colorado,Gilpin County,West,Metro,1,54,6243,1833,2223,53.1055901,37.4568367,39.56936646,11.3,74806
Florida,Madison County,South,Non-metro,6,39.4,18493,5576,3747,39.9466951,27.26737785,14.01986027,6,37919
Colorado,Rio Blanco County,West,Non-metro,9,35.1,6324,3061,561,15.199133,37.62164688,22.73914146,5.4,65960
Georgia,Worth County,South,Metro,3,17.9,20247,6830,2395,25.7942919,29.21324539,10.98221207,5.4,43142
Louisiana,Franklin Parish,South,Non-metro,7,33.6,20015,6970,2658,27.345679,20.88846207,11.98166943,8.1,35484
West Virginia,Lewis County,South,Non-metro,7,29.7,15907,5782,1538,20.6249162,22.88201332,14.48763275,10.9,46895
Missouri,Montgomery County,Midwest,Non-metro,6,45.1,11551,4465,1208,20.9286209,26.53709793,13.9713974,5,50282
Pennsylvania,Adams County,Northeast,Metro,3,50.6,103009,37523,18207,32.1031844,26.64185905,22.28346825,6.9,67706
Colorado,Clear Creek County,West,Metro,1,45.1,9700,2754,3604,55.0397068,28.67407799,48.07483673,8.5,79900
Georgia,Hancock County,South,Non-metro,7,14.8,8457,1154,2976,71.6590417,22.44309616,8.603945732,8.8,31715
Virginia,Page County,South,Non-metro,6,35.9,23902,9345,3007,24.0290874,23.42995262,13.71060467,7.3,52877
Alabama,Jefferson County,South,Metro,1,51.7,658573,138843,181688,55.7585132,30.30597496,33.37995148,6.2,54127
Idaho,Washington County,West,Non-metro,6,35.6,10194,4154,1073,20.0785928,34.89678574,16.34601974,5.4,45813
Ohio,Wayne County,Midwest,Non-metro,4,41,115710,36759,16660,30.6910082,25.31406784,22.20155334,5.9,58747
Arkansas,Van Buren County,South,Non-metro,8,39.2,16545,6034,1593,20.404765,27.99346161,14.52390671,7.1,38096
Indiana,Grant County,Midwest,Non-metro,4,38.8,65769,18543,8015,29.5113959,28.85580063,17.90407944,6.3,47509
Arkansas,Clay County,South,Non-metro,7,42,14551,4086,962,18.5606791,28,12.57007122,6,40686
Georgia,Tattnall County,South,Non-metro,6,14.7,25286,6054,2062,25.1924252,24.5357933,13.16554832,4.3,41457
Tennessee,Fayette County,South,Metro,1,49.7,41133,15690,7027,30.5734424,31.90242195,22.19210625,6.4,67345
Alabama,Talladega County,South,Non-metro,4,33.2,79978,22235,13138,36.8393012,31.64859962,14.96079826,7,47719
Louisiana,West Baton Rouge Parish,South,Metro,2,49,26465,7684,6200,43.9809889,27.99909401,21.98674011,7.2,65344
Mississippi,Jasper County,South,Non-metro,9,45,16383,4302,4341,49.6568291,30.64729118,15.07705879,8.9,40923
Tennessee,Cheatham County,South,Metro,1,45.2,40667,14438,5514,27.2161895,28.84417915,21.00527763,5.6,62786
